Row Sort ID,Control ID,Statement ID,Control Statement,Supplemental Guidance
ac-01-,AC-1,,,"Access control policy and procedures address the controls in the AC family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of access control policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies reflecting the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to access control policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure."
ac-01-A,AC-1,A,"Develop, document, and disseminate to [CCCS Assignment: personnel or roles with access control responsibilities]:",
ac-01-A.1,AC-1,A.1,"[Selection: organization-level, mission/business process-level, system-level] access control policy that:",
ac-01-A.1.A,AC-1,A.1.A,"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",
ac-01-A.1.B,AC-1,A.1.B,"Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",
ac-01-A.2,AC-1,A.2,Procedures to facilitate the implementation of the access control policy and the associated access controls;,
ac-01-B,AC-1,B,"Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and",
ac-01-C,AC-1,C,Review and update the current access control:,
ac-01-C.1,AC-1,C.1,Policy [CCCS Assignment: at least every 3 years] and following [CCCS Assignment: significant changes] ; and,
ac-01-C.2,AC-1,C.2,Procedures [CCCS Assignment: at least annually] and following [CCCS Assignment: significant changes].,
ac-02-,AC-2,,,"Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts.

Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability.

Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training."
ac-02-A,AC-2,A,Define and document the types of accounts allowed and specifically prohibited for use within the system;,
ac-02-B,AC-2,B,Assign account managers and data custodians;,
ac-02-C,AC-2,C,Require [CCCS Assignment: responsible managers] for group and role membership;,
ac-02-D,AC-2,D,Specify:,
ac-02-D.1,AC-2,D.1,Authorized users of the system;,
ac-02-D.2,AC-2,D.2,Group and role membership; and,
ac-02-D.3,AC-2,D.3,"Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;",
ac-02-E,AC-2,E,Require approvals by [CCCS Assignment: responsible managers] for requests to create accounts;,
ac-02-F,AC-2,F,"Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];",
ac-02-G,AC-2,G,Monitor the use of accounts;,
ac-02-H,AC-2,H,Notify account managers and [CCCS Assignment: responsible managers] within:,
ac-02-H.1,AC-2,H.1,[CCCS Assignment: twenty-four (24) hours] when accounts are no longer required or dormant;,
ac-02-H.2,AC-2,H.2,[CCCS Assignment: eight (8) hours] when users are terminated or transferred; and,
ac-02-H.3,AC-2,H.3,[CCCS Assignment: eight (8) hours] when system usage or need-to-know changes for an individual;,
ac-02-I,AC-2,I,Authorize access to the system based on:,
ac-02-I.1,AC-2,I.1,A valid access authorization;,
ac-02-I.2,AC-2,I.2,Intended system usage; and,
ac-02-I.3,AC-2,I.3,[Assignment: organization-defined attributes (as required)];,
ac-02-J,AC-2,J,"Review accounts for compliance with account management requirements [CCCS Assignment: monthly for privileged accessed, every six (6) months for non-privileged access];",
ac-02-K,AC-2,K,Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and,
ac-02-L,AC-2,L,Align account management processes with personnel termination and transfer processes.,
ac-02.01-,AC-2.1,,Support the management of system accounts using [Assignment: organization-defined automated mechanisms].,"Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications."
ac-02.02-,AC-2.2,,Automatically [CCCS Assignment: disables] temporary and emergency accounts after [CCCS Assignment: no more than 96 hours from last use].,Management of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation.
ac-02.03-,AC-2.3,,Disable accounts within [CCCS Assignment: 24 hours for user accounts] when the accounts:,"Disabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system."
ac-02.03-A,AC-2.3,A,Have expired;,
ac-02.03-B,AC-2.3,B,Are no longer associated with a user or individual;,
ac-02.03-C,AC-2.3,C,Are in violation of organizational policy; or,
ac-02.03-D,AC-2.3,D,Have been inactive for [CCCS Assignment: ninety (90) days].,
ac-02.04-,AC-2.4,,"Automatically audit account creation, modification, enabling, disabling, and removal actions.","Account management audit records are defined in accordance with [AU-02](#au-2) and reviewed, analyzed, and reported in accordance with [AU-06](#au-6)."
ac-02.05-,AC-2.5,,Require that users log out when [CCCS Assignment: leaving at the end of their workday].,Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by [AC-11](#ac-11).
ac-02.07-,AC-2.7,,,"Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes."
ac-02.07-A,AC-2.7,A,"Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme, an attribute-based access scheme];",
ac-02.07-B,AC-2.7,B,Monitor privileged role or attribute assignments;,
ac-02.07-C,AC-2.7,C,Monitor changes to roles or attributes; and,
ac-02.07-D,AC-2.7,D,Revoke access when privileged role or attribute assignments are no longer appropriate.,
ac-02.09-,AC-2.9,,Only permit the use of shared and group accounts that meet [CCCS Assignment: organization-defined need with justification statement that explains why such accounts are necessary].,"Before permitting the use of shared or group accounts, organizations consider the increased risk due to the lack of accountability with such accounts."
ac-02.11-,AC-2.11,,Enforce [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined system accounts].,"Specifying and enforcing usage conditions helps to enforce the principle of least privilege, increase user accountability, and enable effective account monitoring. Account monitoring includes alerts generated if the account is used in violation of organizational parameters. Organizations can describe specific conditions or circumstances under which system accounts can be used, such as by restricting usage to certain days of the week, time of day, or specific durations of time."
ac-02.12-,AC-2.12,,,Atypical usage includes accessing systems at certain times of the day or from locations that are not consistent with the normal usage patterns of individuals. Monitoring for atypical usage may reveal rogue behavior by individuals or an attack in progress. Account monitoring may inadvertently create privacy risks since data collected to identify atypical usage may reveal previously unknown information about the behavior of individuals. Organizations assess and document privacy risks from monitoring accounts for atypical usage in their privacy impact assessment and make determinations that are in alignment with their privacy program plan.
ac-02.12-A,AC-2.12,A,Monitor system accounts for [Assignment: organization-defined atypical usage] ; and,
ac-02.12-B,AC-2.12,B,"Report atypical usage of system accounts to [CCCS Assignment: the ISSO and/or similar role within the organization, SOC team member].",
ac-02.13-,AC-2.13,,"Disable accounts of individuals within [CCCS Assignment: one (1) hour] of discovery of [CCCS Assignment: someone who has evidence based identification as an internal threat, or anyone actively working outside of typical usage or anyone who is within an administration action against them (e.g.suspension or pending termination)].","Users who pose a significant security and/or privacy risk include individuals for whom reliable evidence indicates either the intention to use authorized access to systems to cause harm or through whom adversaries will cause harm. Such harm includes adverse impacts to organizational operations, organizational assets, individuals, other organizations, or the Nation. Close coordination among system administrators, legal staff, human resource managers, and authorizing officials is essential when disabling system accounts for high-risk individuals."
ac-03-,AC-3,,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,"Access control policies control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (i.e., devices, files, records, domains) in organizational systems. In addition to enforcing authorized access at the system level and recognizing that systems can host many applications and services in support of mission and business functions, access enforcement mechanisms can also be employed at the application and service level to provide increased information security and privacy. In contrast to logical access controls that are implemented within the system, physical access controls are addressed by the controls in the Physical and Environmental Protection ( [PE](#pe) ) family."
ac-04-,AC-4,,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [CCCS Assignment: deny-all, aproved by exception information flow policies].","Information flow control regulates where information can travel within a system and between systems (in contrast to who is allowed to access the information) and without regard to subsequent accesses to that information. Flow control restrictions include blocking external traffic that claims to be from within the organization, keeping export-controlled information from being transmitted in the clear to the Internet, restricting web requests that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between organizations may require an agreement specifying how the information flow is enforced (see [CA-3](#ca-3) ). Transferring information between systems in different security or privacy domains with different security or privacy policies introduces the risk that such transfers violate one or more domain security or privacy policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between connected systems. Organizations consider mandating specific architectural solutions to enforce specific security and privacy policies. Enforcement includes prohibiting information transfers between connected systems (i.e., allowing access only), verifying write permissions before accepting information from another security or privacy domain or connected system, employing hardware mechanisms to enforce one-way information flows, and implementing trustworthy regrading mechanisms to reassign security or privacy attributes and labels.

Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations within systems and between connected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices that employ rule sets or establish configuration settings that restrict system services, provide a packet-filtering capability based on header information, or provide a message-filtering capability based on message content. Organizations also consider the trustworthiness of filtering and/or inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 32 primarily address cross-domain solution needs that focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, such as high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf products. Information flow enforcement also applies to control plane traffic (e.g., routing and DNS)."
ac-04.21-,AC-4.21,,Separate information flows logically or physically using [CCCS Assignment: session encryption] to accomplish [CCCS Assignment: separation of all sessions].,"Enforcing the separation of information flows associated with defined types of data can enhance protection by ensuring that information is not commingled while in transit and by enabling flow control by transmission paths that are not otherwise achievable. Types of separable information include inbound and outbound communications traffic, service requests and responses, and information of differing security impact or classification levels."
ac-05-,AC-5,,,"Separation of duties addresses the potential for abuse of authorized privileges and helps to reduce the risk of malevolent activity without collusion. Separation of duties includes dividing mission or business functions and support functions among different individuals or roles, conducting system support functions with different individuals, and ensuring that security personnel who administer access control functions do not also administer audit functions. Because separation of duty violations can span systems and application domains, organizations consider the entirety of systems and system components when developing policy on separation of duties. Separation of duties is enforced through the account management activities in [AC-2](#ac-2) , access control mechanisms in [AC-3](#ac-3) , and identity management activities in [IA-2](#ia-2), [IA-4](#ia-4) , and [IA-12](#ia-12)."
ac-05-A,AC-5,A,Identify and document [Assignment: organization-defined duties of individuals requiring separation] ; and,
ac-05-B,AC-5,B,Define system access authorizations to support separation of duties.,
ac-06-,AC-6,,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.","Organizations employ least privilege for specific duties and systems. The principle of least privilege is also applied to system processes, ensuring that the processes have access to systems and operate at privilege levels no higher than necessary to accomplish organizational missions or business functions. Organizations consider the creation of additional processes, roles, and accounts as necessary to achieve least privilege. Organizations apply least privilege to the development, implementation, and operation of organizational systems."
ac-06.01-,AC-6.1,,Authorize access for [Assignment: organization-defined individuals or roles] to:,"Security functions include establishing system accounts, configuring access authorizations (i.e., permissions, privileges), configuring settings for events to be audited, and establishing intrusion detection parameters. Security-relevant information includes filtering rules for routers or firewalls, configuration parameters for security services, cryptographic key management information, and access control lists. Authorized personnel include security administrators, system administrators, system security officers, system programmers, and other privileged users."
ac-06.01-A,AC-6.1,A,"[Assignment: organization-defined organization-defined security functions (deployed in hardware, software, and firmware)] ; and",
ac-06.01-B,AC-6.1,B,[Assignment: organization-defined security-relevant information].,
ac-06.02-,AC-6.2,,"Require that users of system accounts (or roles) with access to [CCCS Assignment: all security functions] use non-privileged accounts or roles, when accessing nonsecurity functions.","Requiring the use of non-privileged accounts when accessing nonsecurity functions limits exposure when operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies, such as role-based access control, and where a change of role provides the same degree of assurance in the change of access authorizations for the user and the processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account."
ac-06.03-,AC-6.3,,Authorize network access to [CCCS Assignment: all privileged commands] only for [Assignment: organization-defined compelling operational needs] and document the rationale for such access in the security plan for the system.,"Network access is any access across a network connection in lieu of local access (i.e., user being physically present at the device)."
ac-06.05-,AC-6.5,,Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].,"Privileged accounts, including super user accounts, are typically described as system administrator for various types of commercial off-the-shelf operating systems. Restricting privileged accounts to specific personnel or roles prevents day-to-day users from accessing privileged information or privileged functions. Organizations may differentiate in the application of restricting privileged accounts between allowed privileges for local accounts and for domain accounts provided that they retain the ability to control system configurations for key parameters and as otherwise necessary to sufficiently mitigate risk."
ac-06.07-,AC-6.7,,,"The need for certain assigned user privileges may change over time to reflect changes in organizational mission and business functions, environments of operation, technologies, or threats. A periodic review of assigned user privileges is necessary to determine if the rationale for assigning such privileges remains valid. If the need cannot be revalidated, organizations take appropriate corrective actions."
ac-06.07-A,AC-6.7,A,"Review [CCCS Assignment: at a minimum, annually] the privileges assigned to [CCCS Assignment: all users with privileges] to validate the need for such privileges; and",
ac-06.07-B,AC-6.7,B,"Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",
ac-06.08-,AC-6.8,,Prevent the following software from executing at higher privilege levels than users executing the software: [CCCS Assignment: any software except software explicitly documented].,"In certain situations, software applications or programs need to execute with elevated privileges to perform required functions. However, depending on the software functionality and configuration, if the privileges required for execution are at a higher level than the privileges assigned to organizational users invoking such applications or programs, those users may indirectly be provided with greater privileges than assigned."
ac-06.09-,AC-6.9,,Log the execution of privileged functions.,"The misuse of privileged functions, either intentionally or unintentionally by authorized users or by unauthorized external entities that have compromised system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Logging and analyzing the use of privileged functions is one way to detect such misuse and, in doing so, help mitigate the risk from insider threats and the advanced persistent threat."
