Row Sort ID,Control ID,Statement ID,Control Statement,Supplemental Guidance
ac-02-,AC-2,,,"Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts.

Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability.

Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training."
ac-02-A,AC-2,A,Define and document the types of accounts allowed and specifically prohibited for use within the system;,
ac-02-B,AC-2,B,Assign account managers and data custodians;,
ac-02-C,AC-2,C,Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;,
ac-02-D,AC-2,D,Specify:,
ac-02-D.1,AC-2,D.1,Authorized users of the system;,
ac-02-D.2,AC-2,D.2,Group and role membership; and,
ac-02-D.3,AC-2,D.3,"Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;",
ac-02-E,AC-2,E,Require approvals by [CCCS Assignment: responsible managers] for requests to create accounts;,
ac-02-F,AC-2,F,"Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];",
ac-02-G,AC-2,G,Monitor the use of accounts;,
ac-02-H,AC-2,H,Notify account managers and [Assignment: organization-defined personnel or roles] within:,
ac-02-H.1,AC-2,H.1,[CCCS Assignment: twenty-four (24) hours] when accounts are no longer required or dormant;,
ac-02-H.2,AC-2,H.2,[CCCS Assignment: eight (8) hours] when users are terminated or transferred; and,
ac-02-H.3,AC-2,H.3,[CCCS Assignment: eight (8) hours] when system usage or need-to-know changes for an individual;,
ac-02-I,AC-2,I,Authorize access to the system based on:,
ac-02-I.1,AC-2,I.1,A valid access authorization;,
ac-02-I.2,AC-2,I.2,Intended system usage; and,
ac-02-I.3,AC-2,I.3,[Assignment: organization-defined attributes (as required)];,
ac-02-J,AC-2,J,"Review accounts for compliance with account management requirements [CCCS Assignment: monthly for privileged accessed, every six (6) months for non-privileged access];",
ac-02-K,AC-2,K,Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and,
ac-02-L,AC-2,L,Align account management processes with personnel termination and transfer processes.,
ac-02.11-,AC-2.11,,Enforce [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined system accounts].,"Specifying and enforcing usage conditions helps to enforce the principle of least privilege, increase user accountability, and enable effective account monitoring. Account monitoring includes alerts generated if the account is used in violation of organizational parameters. Organizations can describe specific conditions or circumstances under which system accounts can be used, such as by restricting usage to certain days of the week, time of day, or specific durations of time."
ac-02.12-,AC-2.12,,,Atypical usage includes accessing systems at certain times of the day or from locations that are not consistent with the normal usage patterns of individuals. Monitoring for atypical usage may reveal rogue behavior by individuals or an attack in progress. Account monitoring may inadvertently create privacy risks since data collected to identify atypical usage may reveal previously unknown information about the behavior of individuals. Organizations assess and document privacy risks from monitoring accounts for atypical usage in their privacy impact assessment and make determinations that are in alignment with their privacy program plan.
ac-02.12-A,AC-2.12,A,Monitor system accounts for [Assignment: organization-defined atypical usage] ; and,
ac-02.12-B,AC-2.12,B,"Report atypical usage of system accounts to [CCCS Assignment: the ISSO and/or similar role within the organization, SOC team member].",
ac-02.13-,AC-2.13,,"Disable accounts of individuals within [CCCS Assignment: one (1) hour] of discovery of [CCCS Assignment: someone who has evidence based identification as an internal threat, or anyone actively working outside of typical usage or anyone who is within an administration action against them (e.g.suspension or pending termination)].","Users who pose a significant security and/or privacy risk include individuals for whom reliable evidence indicates either the intention to use authorized access to systems to cause harm or through whom adversaries will cause harm. Such harm includes adverse impacts to organizational operations, organizational assets, individuals, other organizations, or the Nation. Close coordination among system administrators, legal staff, human resource managers, and authorizing officials is essential when disabling system accounts for high-risk individuals."
ac-06.03-,AC-6.3,,Authorize network access to [CCCS Assignment: all privileged commands] only for [Assignment: organization-defined compelling operational needs] and document the rationale for such access in the security plan for the system.,"Network access is any access across a network connection in lieu of local access (i.e., user being physically present at the device)."
ac-06.07-,AC-6.7,,,"The need for certain assigned user privileges may change over time to reflect changes in organizational mission and business functions, environments of operation, technologies, or threats. A periodic review of assigned user privileges is necessary to determine if the rationale for assigning such privileges remains valid. If the need cannot be revalidated, organizations take appropriate corrective actions."
ac-06.07-A,AC-6.7,A,"Review [CCCS Assignment: at a minimum, annually] the privileges assigned to [CCCS Assignment: all users with privileges] to validate the need for such privileges; and",
ac-06.07-B,AC-6.7,B,"Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",
ac-06.08-,AC-6.8,,Prevent the following software from executing at higher privilege levels than users executing the software: [CCCS Assignment: any software except software explicitly documented].,"In certain situations, software applications or programs need to execute with elevated privileges to perform required functions. However, depending on the software functionality and configuration, if the privileges required for execution are at a higher level than the privileges assigned to organizational users invoking such applications or programs, those users may indirectly be provided with greater privileges than assigned."
ac-12-,AC-12,,Automatically terminate a user session after [CCCS Assignment: 24 hours of inactivity or upon request by the user or whenever this is an identified threat or atypical behaviours].,"Session termination addresses the termination of user-initiated logical sessions (in contrast to [SC-10](#sc-10) , which addresses the termination of network connections associated with communications sessions (i.e., network disconnect)). A logical session (for local, network, and remote access) is initiated whenever a user (or process acting on behalf of a user) accesses an organizational system. Such user sessions can be terminated without terminating network sessions. Session termination ends all processes associated with a user’s logical session except for those processes that are specifically created by the user (i.e., session owner) to continue after the session is terminated. Conditions or trigger events that require automatic termination of the session include organization-defined periods of user inactivity, targeted responses to certain types of incidents, or time-of-day restrictions on system use."
ac-17.09-,AC-17.9,,Provide the capability to disconnect or disable remote access to the system within [CCCS Assignment: a period no greater than 15 minutes].,The speed of system disconnect or disablement varies based on the criticality of missions or business functions and the need to eliminate immediate or future remote access to systems.
ac-19.05-,AC-19.5,,"Employ [Selection: full-device encryption, container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].","Container-based encryption provides a more fine-grained approach to data and information encryption on mobile devices, including encrypting selected data structures such as files, records, or fields."
au-05.01-,AU-5.1,,"Provide a warning to [CCCS Assignment: ISSO or main system admin] within [Assignment: organization-defined time period] when allocated audit log storage volume reaches [CCCS Assignment: 75%, or one month before expected negative impact] of repository maximum audit log storage capacity.",Organizations may have multiple audit log storage repositories distributed across multiple system components with each repository having different storage volume capacities.
