Row Sort ID,Control ID,Statement ID,Control Statement,Supplemental Guidance
ac-01-,AC-1,,,"Access control policy and procedures address the controls in the AC family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of access control policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies reflecting the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to access control policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure."
ac-01-A,AC-1,A,"Develop, document, and disseminate to [Assignment: organization-defined organization-defined personnel or roles]:",
ac-01-A.1,AC-1,A.1,"[Selection: organization-level, mission/business process-level, system-level] access control policy that:",
ac-01-A.1.A,AC-1,A.1.A,"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",
ac-01-A.1.B,AC-1,A.1.B,"Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",
ac-01-A.2,AC-1,A.2,Procedures to facilitate the implementation of the access control policy and the associated access controls;,
ac-01-B,AC-1,B,"Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and",
ac-01-C,AC-1,C,Review and update the current access control:,
ac-01-C.1,AC-1,C.1,Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events] ; and,
ac-01-C.2,AC-1,C.2,Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,
